postalcode;street;lat;lng;price;area;volume;floors;year_build;has_garden;type;photos;rooms
1055 AD Amsterdam;Bos en Lommerplein 39;5.237.753;484.565;489000;109;345;1;2008;0;appartement;1;4
1063 LT Amsterdam;Antony Moddermanstraat 88;5.238.369;4.817.726;155000;72;190;1;1959;0;appartement;12;3
1054 VP Amsterdam;Staringstraat 12 huis;523.621;4.862.073;335000;55;165;1;1905;1;appartement;20;3
1079 VT Amsterdam;Hunzestraat 53 III;5.234.354;490.526;389000;86;278;2;1934;1;appartement;47;5
1071 PE Amsterdam;De Lairessestraat 68 huis;5.235.434;4.873.983;1475000;205;700;2;1914;1;appartement;23;8
1012 TW Amsterdam;Spuistraat 74 -C;5.237.572;4.891.708;519000;85;277;5;1726;0;appartement;17;2
1034 CR Amsterdam;Bezaanjachtplein 117 B;5.240.853;4.914.942;200000;45;150;1;2012;0;appartement;28;2
1057 SP Amsterdam;Hudsonstraat 72 II;523.667;485.385;450000;95;285;2;2006;0;appartement;25;4
1069 LK Amsterdam;Baden Powellweg 58 -A;5.235.475;4.792.483;249500;95;258;1;2010;0;appartement;24;3
1021 GL Amsterdam;Leeuwerikstraat 12;5.238.437;4.915.703;249000;57;181;1;1987;1;appartement;20;2
1081 EH Amsterdam;Bolestein 518;5.232.487;4.859.315;349000;92;290;1;1960;0;appartement;22;3
1107 KJ Amsterdam;Werkendamstraat 8;5.229.561;4.984.628;175000;68;210;1;1982;0;appartement;1;3
1072 JH Amsterdam;Cornelis Trooststraat 60 I + II;5.235.054;4.889.465;575000;105;347;2;1925;0;appartement;27;4
1063 HA Amsterdam;Lou Jansenplein 78;5.238.366;4.819.503;30000;0;0;1;0;0;parkeergelegenheid;1;1
1012 GH Amsterdam;Oudezijds Voorburgwal 98 A;5.237.349;4.897.444;400000;68;275;1;1750;1;appartement;21;2
1017 AB Amsterdam;Amstel 34 B;5.236.688;4.895.301;575000;100;274;1;1906;0;appartement;38;3
1094 BS Amsterdam;Molukkenstraat 94 D;5.236.205;4.939.324;215000;46;143;1;1981;0;appartement;16;2
1056 XH Amsterdam;Jan Haringstraat 14 I;5.237.622;4.861.364;275000;53;159;1;1938;0;appartement;19;3
1067 AS Amsterdam;Pieter Postsingel 99;5.238.295;4.795.036;269000;97;300;3;1955;1;woonhuis;19;4
1066 CV Amsterdam;Sloterweg 1208;5.234.155;4.798.805;749000;208;815;3;1934;1;woonhuis;32;7
1011 LB Amsterdam;Oudeschans 26 K;5.237.138;4.904.212;1200000;220;550;2;2012;1;woonhuis;43;6
1058 TE Amsterdam;Woestduinstraat 24;5.235.387;4.847.641;645000;115;300;2;1956;0;appartement;22;4
1022 KD Amsterdam;Noorderkwartier (Bouwnr. 39);5.240.604;4.931.375;492396;139;348;2;2016;1;woonhuis;3;5
1024 BC Amsterdam;Jisperveldstraat 566;524.004;4.952.167;190000;84;260;1;1968;0;appartement;18;4
1108 DD Amsterdam;Leusdenhof 165;523.079;497.832;250000;0;0;1;0;0;onbekend;1;1
